氏名,氏名（カタカナ）,full_address
北村創,キタムラハジメ,大阪府高槻市城南町2-14-8
神山葉菜,カミヤマハナ,秋田県秋田市楢山石塚町1-12-14楢山石塚町プラザ209
菊地照子,キクチテルコ,岡山県総社市美袋3-9
有賀清次,アリガセイジ,栃木県栃木市樋ノ口町3-9リバーサイド樋ノ口町407
西美涼,ニシミスズ,兵庫県宝塚市中山桜台3-19-9
斎藤千里,サイトウチサト,福岡県北九州市小倉北区高見台2-19-7
小島咲月,オジマサツキ,栃木県小山市美しが丘1-3-6コート美しが丘414
吉沢栄三,ヨシザワエイゾウ,秋田県秋田市飯島飯田4-15-13パレス飯島飯田213
湯川彩希,ユカワサキ,広島県竹原市忠海長浜2-12-18
稲村真菜,イナムラマナ,茨城県水戸市三の丸2-17-3
浅川穂乃花,アサカワホノカ,熊本県阿蘇市蔵原1-8
竹内遼,タケウチハルカ,青森県平川市大光寺二早稲田2-8-7
野上夏希,ノガミナツキ,福岡県朝倉市秋月野鳥4-2-10秋月野鳥パーク218
秋山芳子,アキヤマヨシコ,鹿児島県奄美市名瀬佐大熊町4-16-14ゴールデン名瀬佐大熊町201
藤島厚,フジシマアツシ,佐賀県佐賀市朝日町1-10-1
金井伸一,カネイシンイチ,高知県高岡郡中土佐町大野見三ツ又4-8-17
小幡吉雄,オバタヨシオ,秋田県大仙市南外西板戸2-2-14南外西板戸庵205
長田基一,ナガタキイチ,大阪府高槻市道鵜町4-9道鵜町パレス415
本田厚吉,ホンダコウキチ,宮城県気仙沼市四反田2-14グランド四反田200
陳紀子,チンノリコ,岐阜県揖斐郡池田町杉野1-10杉野プレシャス416
丸田真美,マルタマミ,滋賀県大津市伊香立南庄町2-16-11
松川勉,マツカワツトム,三重県鳥羽市河内町4-5-6
志賀浩子,シガヒロコ,愛媛県八幡浜市琴平町4-2-1
塚本孝,ツカモトタカシ,石川県小松市あけぼの町3-15-4あけぼの町コート211
岡野仁一,オカノジンイチ,島根県鹿足郡吉賀町朝倉3-5-10
松井瑞貴,マツイミズキ,新潟県胎内市切田1-16
