氏名,氏名（カタカナ）,生年月日,出身地
岸本聡子,キシモトサトコ,1994-02-28,岡山県
冨田輝男,トミタテルオ,1963-11-08,広島県
岸莉桜,キシリオ,1995-03-02,香川県
菊田俊文,キクタトシフミ,1966-03-27,長崎県
飯塚実希子,イイヅカミキコ,1992-05-24,広島県
水口円香,ミズグチマドカ,1964-10-09,香川県
柴崎秀樹,シバザキヒデキ,1993-02-04,石川県
葛西幸男,カサイユキオ,1997-10-14,滋賀県
浅野絢乃,アサノアヤノ,1973-01-13,奈良県
芦田太陽,アシダタイヨウ,1993-12-06,島根県
堀江幸市,ホリエコウイチ,1993-10-06,島根県
保坂百花,ホサカモモカ,1985-04-28,北海道
増井悦子,マスイエツコ,1961-09-05,大分県
梅田松雄,ウメダマツオ,1996-10-02,奈良県
栗田芳子,クリタヨシコ,1967-12-16,愛知県
片岡心咲,カタオカミサキ,1967-07-28,熊本県
相馬史織,ソウマシオリ,1970-12-23,岡山県
皆川信,ミナガワマコト,1979-02-08,山形県
土田敏雄,ツチダトシオ,1985-04-25,熊本県
角英実,カクヒデミ,1985-02-28,静岡県
平由美,タイラユミ,1968-06-16,愛媛県
高橋琴音,タカハシコトネ,1967-06-16,北海道
村山菊男,ムラヤマキクオ,1973-12-12,大阪府
平松美優,ヒラマツミユウ,1996-12-22,埼玉県
中林正雄,ナカバヤシマサオ,1982-08-07,三重県
八木司,ヤギツカサ,1965-06-26,宮崎県
川合吉雄,カワイヨシオ,1970-09-01,兵庫県
浜口香菜,ハマグチカナ,1988-12-10,石川県
新倉俊範,ニイクラトシノリ,1977-07-09,栃木県
曽根徳治,ソネトクジ,1992-05-25,沖縄県
山川新一,ヤマカワシンイチ,1958-10-05,東京都
有馬安子,アリマヤスコ,1974-05-15,山梨県
坂東茂行,バンドウシゲユキ,1979-02-10,富山県
清野寅吉,キヨノトラキチ,1988-10-16,岡山県
長谷部量子,ハセベカズコ,1995-03-06,山形県
角英人,カクヒデト,1975-06-03,大阪府
秋本雄二郎,アキモトユウジロウ,1975-01-25,三重県
富沢令子,トミザワレイコ,1979-02-23,宮城県
宇田川芳美,ウダガワヨシミ,1981-01-18,徳島県
赤井沙織,アカイサオリ,1963-03-31,千葉県
萩原真紗子,ハギワラマサコ,1968-12-12,島根県
西山公男,ニシヤマキミオ,1994-09-24,石川県
杉野宗男,スギノムネオ,1978-02-26,福井県
塚越安弘,ツカゴシヤスヒロ,1997-08-14,滋賀県
金野清美,カネノキヨミ,1965-03-22,新潟県
長瀬正春,ナガセマサハル,1959-10-23,長野県
沼田琉奈,ヌマタルナ,1974-04-11,長野県
島津実可,シマヅミカ,1974-01-17,鹿児島県
石坂芳美,イシザカヨシミ,1975-06-27,岐阜県
落合彩奈,オチアイアヤナ,1962-01-11,熊本県
雨宮奈美,アメミヤナミ,1964-05-29,山梨県
栗本翔太,クリモトショウタ,1994-09-30,青森県
畑春美,ハタケハルミ,1974-03-12,山梨県
高津柚,タカツユズ,1970-05-28,東京都
小幡舞花,オバタマイカ,1965-04-28,富山県
根本剛,ネモトタケシ,1989-06-17,大分県
平井健夫,ヒライタケオ,1974-01-20,宮城県
鳥居昌己,トリイマサミ,1966-11-15,岡山県
足立一宏,アダチカズヒロ,1988-06-19,山形県
比嘉真緒,ヒガマオ,1994-09-09,高知県
岡村藍子,オカムラアイコ,1970-01-27,福岡県
宇田川省吾,ウダガワショウゴ,1959-03-14,愛知県
三浦昌彦,ミウラマサヒコ,1968-04-28,群馬県
土田志歩,ツチダシホ,1997-03-18,神奈川県
上岡新一,カミオカシンイチ,1971-06-24,滋賀県
松下忠司,マツシタタダシ,1966-10-27,徳島県
熊倉富雄,クマクラトミオ,1981-03-20,佐賀県
福元武信,フクモトタケノブ,1997-03-02,岡山県
秋元孝治,アキモトコウジ,1959-03-18,宮城県
前野竜三,マエノリュウゾウ,1969-09-30,栃木県
日下部章子,クサカベアキコ,1983-06-03,佐賀県
川上広行,カワカミヒロユキ,1994-09-29,東京都
新谷扶三代,アラヤフミヨ,1974-12-28,秋田県
立花信也,タチバナシンヤ,1987-11-05,山口県
土屋嘉子,ツチヤヨシコ,1968-04-17,愛知県
石沢孝司,イシザワタカシ,1963-03-18,京都府
根岸隆司,ネギシタカシ,1978-06-02,山口県
細田詩音,ホソダシオン,1965-02-08,鳥取県
東野雅夫,ヒガシノマサオ,1985-09-26,福井県
及川椛,オイカワモミジ,1967-10-28,福岡県
中岡隆介,ナカオカリュウスケ,1964-11-09,愛媛県
手塚章子,テヅカアキコ,1959-08-17,岐阜県
荻野菊男,オギノキクオ,1996-12-19,静岡県
門田華蓮,カドタカレン,1995-07-19,香川県
中西芳太郎,ナカニシヨシタロウ,1989-04-04,奈良県
浜本栄子,ハマモトエイコ,1960-02-13,千葉県
岩間亀太郎,イワマカメタロウ,1968-03-02,岡山県
坂直子,バンナオコ,1988-12-31,宮城県
岩渕英三,イワブチエイゾウ,1969-03-06,山口県
長坂瑞紀,ナガサカミズキ,1959-03-05,大阪府
神崎昭一,カンザキショウイチ,1961-12-05,香川県
谷口正則,タニグチマサノリ,1991-10-24,鹿児島県
新井義勝,アライヨシカツ,1962-05-02,千葉県
